published_date,list_name,list_name_encoded,rank,title,author,description,weeks_on_list
2/5/17,Hardcover Nonfiction,hardcover-nonfiction,3,Killing The Rising Sun,Bill O'Reilly + Martin Dugard,The host of “The O’Reilly Factor” recounts the final years of World War II.,19
2/5/17,Hardcover Nonfiction,hardcover-nonfiction,4,The Magnolia Story,Chip Gaines and Joanna Gaines,The lives of the couple who star in the HGTV show “Fixer Upper.”,14
2/5/17,Hardcover Nonfiction,hardcover-nonfiction,5,The Book Of Joy,The Dalai Lama and Desmond Tutu,A discussion between two spiritual leaders about how to find joy in the face of suffering.,14
2/12/17,Hardcover Nonfiction,hardcover-nonfiction,1,Hillbilly Elegy,JD Vance,A Yale Law School graduate looks at the struggles of America’s white working class through his own childhood in the Rust Belt.,27
2/12/17,Hardcover Nonfiction,hardcover-nonfiction,2,Killing The Rising Sun,Bill O'Reilly + Martin Dugard,The host of “The O’Reilly Factor” recounts the final years of World War II.,20
2/12/17,Hardcover Nonfiction,hardcover-nonfiction,3,Three Days In January,Bret Baier w/ Catherine Whitney,Eisenhower’s farewell address and his role in the Kennedy transition.,3
2/12/17,Hardcover Nonfiction,hardcover-nonfiction,4,The Magnolia Story,Chip Gaines and Joanna Gaines,The lives of the couple who star in the HGTV show “Fixer Upper.”,15
2/12/17,Hardcover Nonfiction,hardcover-nonfiction,5,The Book Of Joy,The Dalai Lama and Desmond Tutu,A discussion between two spiritual leaders about how to find joy in the face of suffering.,15
2/19/17,Hardcover Nonfiction,hardcover-nonfiction,1,Hillbilly Elegy,JD Vance,A Yale Law School graduate looks at the struggles of America’s white working class through his own childhood in the Rust Belt.,28
2/19/17,Hardcover Nonfiction,hardcover-nonfiction,2,Killing The Rising Sun,Bill O'Reilly + Martin Dugard,The host of “The O’Reilly Factor” recounts the final years of World War II.,21
2/19/17,Hardcover Nonfiction,hardcover-nonfiction,3,Three Days In January,Bret Baier w/ Catherine Whitney,Eisenhower’s farewell address and his role in the Kennedy transition.,4
2/19/17,Hardcover Nonfiction,hardcover-nonfiction,4,The Magnolia Story,Chip Gaines and Joanna Gaines,The lives of the couple who star in the HGTV show “Fixer Upper.”,16
2/19/17,Hardcover Nonfiction,hardcover-nonfiction,5,The Book Of Joy,The Dalai Lama and Desmond Tutu,A discussion between two spiritual leaders about how to find joy in the face of suffering.,16
2/26/17,Hardcover Nonfiction,hardcover-nonfiction,1,Hillbilly Elegy,JD Vance,A Yale Law School graduate looks at the struggles of America’s white working class through his own childhood in the Rust Belt.,29
2/26/17,Hardcover Nonfiction,hardcover-nonfiction,2,Killing The Rising Sun,Bill O'Reilly + Martin Dugard,The host of “The O’Reilly Factor” recounts the final years of World War II.,22
2/26/17,Hardcover Nonfiction,hardcover-nonfiction,3,The Magnolia Story,Chip Gaines and Joanna Gaines,The lives of the couple who star in the HGTV show “Fixer Upper.”,17
2/26/17,Hardcover Nonfiction,hardcover-nonfiction,4,Three Days In January,Bret Baier w/ Catherine Whitney,Eisenhower’s farewell address and his role in the Kennedy transition.,5
2/26/17,Hardcover Nonfiction,hardcover-nonfiction,5,The Book Of Joy,The Dalai Lama and Desmond Tutu,A discussion between two spiritual leaders about how to find joy in the face of suffering.,17
